DateOriginal,Type,DateMapped
jun. de 2020,Start,2020-06-01
jun. de 2020,Start,2020-06-01
1989,Start,1989-01-01
1989,End,1989-12-01
1990,Start,1990-01-01
1990,End,1990-12-01
1991,Start,1991-01-01
1991,End,1991-12-01
1992,Start,1992-01-01
1992,End,1992-12-01
1993,Start,1993-01-01
1993,End,1993-12-01
1994,Start,1994-01-01
1994,End,1994-12-01
1995,Start,1995-01-01
1995,End,1995-12-01
1996,Start,1996-01-01
1996,End,1996-12-01
1997,Start,1997-01-01
1997,End,1997-12-01
1998,Start,1998-01-01
1998,End,1998-12-01
1999,Start,1999-01-01
1999,End,1999-12-01
2000,Start,2000-01-01
2000,End,2000-12-01
2001,Start,2001-01-01
2001,End,2001-12-01
2002,Start,2002-01-01
2002,End,2002-12-01
2003,Start,2003-01-01
2003,End,2003-12-01
2004,Start,2004-01-01
2004,End,2004-12-01
2005,Start,2005-01-01
2005,End,2005-12-01
2006,Start,2006-01-01
2006,End,2006-12-01
2007,Start,2007-01-01
2007,End,2007-12-01
2008,Start,2008-01-01
2008,End,2008-12-01
2009,Start,2009-01-01
2009,End,2009-12-01
2010,Start,2010-01-01
2010,End,2010-12-01
2011,Start,2011-01-01
2011,End,2011-12-01
2012,Start,2012-01-01
2012,End,2012-12-01
2013,Start,2013-01-01
2013,End,2013-12-01
2014,Start,2014-01-01
2014,End,2014-12-01
2015,Start,2015-01-01
2015,End,2015-12-01
2016,Start,2016-01-01
2016,End,2016-12-01
2017,End,2017-12-01
2017,Start,2017-01-01
2018,Start,2018-01-01
2018,End,2018-12-01
2019,End,2019-12-01
2019,Start,2019-01-01
2020,Start,2020-01-01
2020,End,2020-12-01
2021,Start,2021-01-01
2021,End,2021-12-01
2022,Start,2022-01-01
2022,End,2022-12-01
2023,Start,2023-01-01
2023,End,2023-12-01
Dez. 1962,Start,1962-12-01
Dez. 1962,End,1962-12-01
Okt. 1965,Start,1965-10-01
Okt. 1965,End,1965-10-01
Jan. 1967,Start,1967-01-01
Jan. 1967,End,1967-01-01
Sept. 1974,Start,1974-09-01
Sept. 1974,End,1974-09-01
Jan. 1980,Start,1980-01-01
Jan. 1980,End,1980-01-01
Feb. 1980,Start,1980-02-01
Feb. 1980,End,1980-02-01
März 1980,Start,1980-03-01
März 1980,End,1980-03-01
Apr. 1980,Start,1980-04-01
Apr. 1980,End,1980-04-01
Juni 1980,Start,1980-06-01
Juni 1980,End,1980-06-01
Juli 1980,Start,1980-07-01
Juli 1980,End,1980-07-01
Aug. 1980,Start,1980-08-01
Aug. 1980,End,1980-08-01
Sept. 1980,Start,1980-09-01
Sept. 1980,End,1980-09-01
Okt. 1980,Start,1980-10-01
Okt. 1980,End,1980-10-01
Nov. 1980,Start,1980-11-01
Nov. 1980,End,1980-11-01
Dez. 1980,Start,1980-12-01
Dez. 1980,End,1980-12-01
Jan. 1981,Start,1981-01-01
Jan. 1981,End,1981-01-01
Feb. 1981,Start,1981-02-01
Feb. 1981,End,1981-02-01
März 1981,Start,1981-03-01
März 1981,End,1981-03-01
Apr. 1981,Start,1981-04-01
Apr. 1981,End,1981-04-01
Juni 1981,Start,1981-06-01
Juni 1981,End,1981-06-01
Juli 1981,Start,1981-07-01
Juli 1981,End,1981-07-01
Aug. 1981,Start,1981-08-01
Aug. 1981,End,1981-08-01
Sept. 1981,Start,1981-09-01
Sept. 1981,End,1981-09-01
Okt. 1981,Start,1981-10-01
Okt. 1981,End,1981-10-01
Nov. 1981,Start,1981-11-01
Nov. 1981,End,1981-11-01
Dez. 1981,Start,1981-12-01
Dez. 1981,End,1981-12-01
Jan. 1982,Start,1982-01-01
Jan. 1982,End,1982-01-01
Feb. 1982,Start,1982-02-01
Feb. 1982,End,1982-02-01
März 1982,Start,1982-03-01
März 1982,End,1982-03-01
Apr. 1982,Start,1982-04-01
Apr. 1982,End,1982-04-01
Juni 1982,Start,1982-06-01
Juni 1982,End,1982-06-01
Juli 1982,Start,1982-07-01
Juli 1982,End,1982-07-01
Aug. 1982,Start,1982-08-01
Aug. 1982,End,1982-08-01
Sept. 1982,Start,1982-09-01
Sept. 1982,End,1982-09-01
Okt. 1982,Start,1982-10-01
Okt. 1982,End,1982-10-01
Nov. 1982,Start,1982-11-01
Nov. 1982,End,1982-11-01
Dez. 1982,Start,1982-12-01
Dez. 1982,End,1982-12-01
Jan. 1983,Start,1983-01-01
Jan. 1983,End,1983-01-01
